authorId,name,paperCount,citationCount,hIndex
5824732,D. Ornish,126,9680,39
4883099,Jue Lin,222,15525,58
145554525,J. Chan,265,23028,62
8255054,E. Epel,464,38090,95
40403407,Colleen Kemp,10,1375,7
144070824,G. Weidner,141,6384,41
119777531,Ruth O Marlin,13,2446,12
2088980488,M. J. Magbanua,16,1764,9
4909243,J. Daubenmier,64,6242,32
12613521,I. Estay,8,923,5
3969647,N. Hills,166,5893,37
1401832006,N. Chainani-Wu,34,2320,18
152844643,P. Carroll,1326,67152,129
3916345,E. Blackburn,392,51093,108
2727020,L. Esserman,694,27468,86
145266231,I. Thompson,765,42868,94
2461468,B. Reid,239,23885,79
2231439,Alexander A. Aarts,14,5437,3
1400206933,Joanna E. Anderson,15,5769,7
96413924,Christopher J. Anderson,7,5573,3
113650771,Peter Raymond Attridge,4,5417,2
1788796,A. Attwood,128,7463,26
152159926,Jordan R. Axt,211,8470,16
36417745,Molly Babel,108,6915,16
5252377,Š. Bahník,95,7857,16
6174975,E. Baranski,63,6316,11
1387458734,M. Barnett-Cowan,131,7069,23
4867423,E. Bartmess,12,6487,8
3039399,J. Beer,78,12020,33
47431109,R. Bell,109,7478,28
2074992746,Heather Bentley,2,5401,1
114670541,Leah Beyan,2,5401,1
30661345,Grace Binion,15,5435,4
3237553,D. Borsboom,322,35616,70
116191440,Annick Bosch,10,5439,4
8597004,Frank Bosco,51,7709,17
72356050,Sara D. Bowman,25,5475,3
145470466,M. Brandt,250,12258,35
66335862,E. L. Braswell,27,5401,1
51904698,Hilmar Brohmer,42,5543,6
48120787,B. T. Brown,20,5468,4
4197188,Kristina Brown,4,5472,2
31412979,Jovita Brüning,13,5444,4
1400158480,Ann Calhoun-Sauls,5,5468,2
36027478,Shannon P. Callahan,8,5651,4
95354096,E. Chagnon,9,5411,2
48719411,Jesse J. Chandler,55,17495,28
38049428,Christopher R. Chartier,105,6496,14
145787104,F. Cheung,35,7088,12
51055585,Cody Daniel Christopherson,48,5839,10
4704887,L. Cillessen,21,5617,8
48987469,R. Clay,15,6009,11
46550612,Hayley M. D. Cleary,32,5722,10
117283612,M. Cloud,9,5461,4
143947719,Michael Conn,12,5438,3
1795487,J. Cohoon,95,7089,20
7293849,S. Columbus,45,5809,11
2052289610,A. Cordes,3,5561,3
49251371,G. Costantini,78,7767,22
15675192,Leslie D. Cramblet Alvarez,29,5417,2
51034966,E. Cremata,12,5586,4
104792844,J. Crusius,47,7435,21
2480852,J. DeCoster,128,13837,43
122378013,M. DeGaetano,5,5401,1
1665535543,Nicolás Delia Penna,1,5401,1
1665493156,Bobby Den Bezemer,1,5401,1
32368039,M. Deserno,29,6350,13
113076847,Olivia Devitt,2,5401,1
6629103,Laura Dewitte,30,5521,8
6958962,David G. Dobolyi,25,6091,13
16313368,Geneva T. Dodson,4,5401,1
2467192,M. Donnellan,314,27051,71
2094220350,Ryan Donohue,2,5402,1
5663433,Rebecca A. Dore,52,6492,12
5021006,A. Dorrough,61,5653,10
3488772,Anna Dreber,143,16088,43
5818783,M. Dugas,33,6023,14
3100527,Elizabeth W. Dunn,143,14321,49
14421983,Kayleigh E. Easey,26,5611,8
117807982,Sylvia Eboigbe,2,5401,1
34959578,C. Eggleston,19,5636,7
