paperId,referenceCount,citationCount,authorsCount,occupiedJournalPages,authors_sum_paperCount,authors_sum_citationCount,authors_sum_hIndex,altmetric_score,influentialCitationCount
6586435c044fdf48a74e86dea02902dc235038cf,49,68,3,0,111,3985,40,4,5
02822d9bd3d277e0f2ea21fd42cbe341aa7f2c6c,18,64,9,0,285,12762,83,4995,4
fe297418763154fa4a17273011c11da2c58e42d2,13,1624,6,0,3646,194783,430,50,17
212301127d8826dc29424a5ddd74f6919820d012,39,867,2,0,98,5741,38,2002,51
3e99c32b4e16d72ea22e9121a43b0b2795623da5,64,73,2,0,77,3088,30,84,3
d2d88e6c3aa655c34f9db962c200875047a78278,31,1110,15,0,1946,117106,530,2725,3
88e23044396b7c63e831ad0195b6184ea3a12097,0,4383,3,0,317,30444,95,0,380
a9adbbe966c7d8ba6095ff96eee8cc921ac00bba,38,277,9,0,578,25222,169,2879,9
16b52fed612e06f0d2a038e981e81e18d0eea14a,94,7788,1,0,1328,119465,153,0,61
f2259c97773f8e7f5502b588e275546dad142086,0,4648,4,0,1204,163992,230,24,63
24517e78556b60b984e118811e2e32f0a4e700de,4,39,5,0,856,21777,130,2488,4
10f3a1d8ecf0df2993a3cf679ff31e01ce32cff7,62,396,9,0,579,64644,226,3,57
16a6a4c172b0219b044ee294d921b5a45fb45151,11,148,7,0,729,24137,186,2188,4
d43be55a52c19d503611d020c531b5b26c0b51a4,28,130,9,0,3339,214971,572,3165,5
c0d6f96ffc156bab46fe3097f8a50de5a62eb9f4,40,7038,19,0,2802,378289,819,585,278
34e8ed56e9412ab8396ea59eec8321aa12566c5b,37,339,27,0,4892,219744,903,1873,10
ff3a616950910bb618d045a1e9e72ff236b21443,135,1233,4,0,996,62076,187,1714,155
486e110c08112b0fbbe807cebf108c8f4e55eec9,18,17,2,0,41,1171,11,2937,0
eb12e94566c2d7fa7e405b51e4fd8ce8da62c012,66,511,22,0,2495,217061,642,1144,40
7ad70a564c4c8898f61eddbcecf9e90f71e9d4b6,30,16714,4,0,1217,184942,223,142,513
74d0e14c7aa617a43875d6cef35c4622d1305949,2,350,1,0,1,350,1,0,18
9e607237e70fa3129da500ea1137a0d5d8633ddb,14,700,2,0,610,53879,135,22,40
c0cd4b4844c31a27a7900a754d0a91b160b00e55,48,125,14,0,1032,182727,369,1628,2
4bcac104568f8aef9d82abc76250c11e8a309297,63,822,3,0,298,26819,94,0,86
f231398c67f95fea3c59a53a74f9e61ece5c4701,46,902,32,0,12696,1020275,2156,2626,32
2cafbc9c901bb5f31f95d1122621969e1a86d4ff,77,433,8,0,2728,124153,416,1044,12
b65ce11a4e99d202b1a1e7272b7e3ea5da3c570b,17,1105,15,0,1508,155551,505,2253,60
fc526e021a0ab75b93512164ef1b426fb78a24f6,50,402,7,0,8547,957979,1086,2974,9
a9a6598c93a444d93d5d4d890b23a86e452b05ce,52,871,9,0,954,41650,177,2842,24
f8cbefe8736d827e0324dd6c3253bb104b1dcb68,23,2333,2,0,426,22279,75,6999,124
6f65208027edb38828c1a0c1d7d8157b272932ab,38,699,32,0,4518,416527,1075,4189,31
1defc6c974c534792e295f931fbc69a541f9c5e8,42,144,11,0,607,16845,169,2505,11
625b376de4d422bda603c9c81a3ab3ccc87742ab,58,152,4,0,575,24503,148,636,8
c33acab51356915653602c311a0c7a9644dce7a0,172,563,12,0,5045,266048,778,1541,26
06c541de524d2352116ef3c6a0af318a1b83cf1c,141,3086,2,0,1718,101944,151,12,183
bd3346568eac5ff36de480128ec8ae051482ffe4,0,595,1,0,178,2417,23,0,71
b65ed6c8ad2c7197db2aa5eb2a9f2b73b5340ec0,50,262,14,0,777,36035,225,1198,11
e6d91e300701bf9cb952a6ba0766252c42664127,37,1352,3,0,462,49706,134,2621,147
